block_id,model_category,shape_family,support_class,shape_description,geometry_details,average_color_hex,average_color_r,average_color_g,average_color_b,average_alpha_coverage,face_color_summary,different_faces,tint_policy,material_tags,model_count,blockstate_model_ref_count,rotated_by_blockstate,model_sources,parent_models,texture_sources,confidence,notes
minecraft:dried_kelp_block,full_cube_different_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with face-dependent visual treatment.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#373D2D,55,61,45,1.000,down=#414534;up=#414534;north=#313928;south=#313928;west=#313928;east=#313928,down=#414534;up=#414534,none,neutral,1,1,no,minecraft:block/dried_kelp_block,block,minecraft:block/dried_kelp_bottom;minecraft:block/dried_kelp_side;minecraft:block/dried_kelp_top,medium,
minecraft:dripstone_block,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#886E5E,136,110,94,1.000,down=#886E5E;up=#886E5E;north=#886E5E;south=#886E5E;west=#886E5E;east=#886E5E,,none,stone,1,1,no,minecraft:block/dripstone_block,block;cube;cube_all,minecraft:block/dripstone_block,medium,
minecraft:dropper,full_cube_different_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with face-dependent visual treatment.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#767676,118,118,118,1.000,down=#727272;up=#676767;north=#727272;south=#727272;west=#727272;east=#727272,up=#676767,none,neutral,2,6,yes,minecraft:block/dropper;minecraft:block/dropper_vertical,block;cube;orientable;orientable_vertical;orientable_with_bottom,minecraft:block/dropper_front;minecraft:block/dropper_front_vertical;minecraft:block/furnace_side;minecraft:block/furnace_top,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:emerald_block,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#39CE63,57,206,99,1.000,down=#39CE63;up=#39CE63;north=#39CE63;south=#39CE63;west=#39CE63;east=#39CE63,,none,,1,1,no,minecraft:block/emerald_block,block;cube;cube_all,minecraft:block/emerald_block,medium,
minecraft:emerald_ore,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#768E7A,118,142,122,1.000,down=#768E7A;up=#768E7A;north=#768E7A;south=#768E7A;west=#768E7A;east=#768E7A,,none,ore,1,1,no,minecraft:block/emerald_ore,block;cube;cube_all,minecraft:block/emerald_ore,medium,
minecraft:enchanting_table,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/enchanting_table -> 1 element: [0,0,0]-[1,0.75,1]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#5C6460,92,100,96,1.000,,,none,neutral,1,1,no,minecraft:block/enchanting_table,block,minecraft:block/enchanting_table_bottom;minecraft:block/enchanting_table_side;minecraft:block/enchanting_table_top,medium,
minecraft:end_gateway,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular non-cube geometry; exact visible shape is defined by the resolved block model and state-selected model variants.",#181125,24,17,37,1.000,,,none,dark,1,1,no,minecraft:block/end_gateway,,minecraft:block/obsidian,medium,
minecraft:end_portal,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular non-cube geometry; exact visible shape is defined by the resolved block model and state-selected model variants.",#181125,24,17,37,1.000,,,none,dark,1,1,no,minecraft:block/end_portal,,minecraft:block/obsidian,medium,
minecraft:end_portal_frame,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/end_portal_frame -> 1 element: [0,0,0]-[1,0.8125,1] | minecraft:block/end_portal_frame_filled -> 2 elements: [0,0,0]-[1,0.8125,1] + [0.25,0.8125,0.25]-[0.75,1,0.75]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#ADB383,173,179,131,1.000,,,none,,2,8,yes,minecraft:block/end_portal_frame;minecraft:block/end_portal_frame_filled,block,minecraft:block/end_portal_frame_eye;minecraft:block/end_portal_frame_side;minecraft:block/end_portal_frame_top;minecraft:block/end_stone,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:end_rod,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/end_rod -> 2 elements: [0.375,0,0.375]-[0.625,0.0625,0.625] + [0.4375,0.0625,0.4375]-[0.5625,1,0.5625]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#E6DDD0,230,221,208,1.000,,,none,light,1,6,yes,minecraft:block/end_rod,block,minecraft:block/end_rod,medium,
minecraft:end_stone,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#DCE09F,220,224,159,1.000,down=#DCE09F;up=#DCE09F;north=#DCE09F;south=#DCE09F;west=#DCE09F;east=#DCE09F,,none,stone;light,1,1,no,minecraft:block/end_stone,block;cube;cube_all,minecraft:block/end_stone,medium,
minecraft:end_stone_brick_slab,slab,slab,self_supporting_geometry,Half-height or full-height rectangular prism selected by slab type.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. type=bottom occupies [0,0,0]-[1,0.5,1]. type=top occupies [0,0.5,0]-[1,1,1]. type=double is a full cube [0,0,0]-[1,1,1]. Single-slab states are exactly half-height rectangular prisms.",#DBE2A4,219,226,164,1.000,,,none,stone;brick;architectural_shape;light,3,3,no,minecraft:block/end_stone_brick_slab;minecraft:block/end_stone_brick_slab_top;minecraft:block/end_stone_bricks,block;cube;cube_all;slab;slab_top,minecraft:block/end_stone_bricks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:end_stone_brick_stairs,stairs,stairs,self_supporting_geometry,"Step-shaped block: half-block base plus one or more quarter/half prisms; straight, inner-corner, and outer-corner variants.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Stairs are a full 1x1x1 cube with step-shaped upper/lower half removed. For half=bottom, shape=straight occupies a full bottom half [0,0,0]-[1,0.5,1] plus one upper half-prism [0.5,0.5,0]-[1,1,1] in the canonical east-facing model, so the side profile is an L and the missing volume is a 0.5x0.5x1 prism; facing rotates that prism to north/east/south/west. half=top mirrors the geometry vertically, putting the full half at y=0.5..1 and the step/void in y=0..0.5. shape=inner_left/inner_right occupies the full lower (or upper, for half=top) half plus an L-shaped pair of 0.5x0.5x1 and 0.5x0.5x0.5 upper/lower prisms, leaving exactly one 0.5x0.5x0.5 corner void; left/right chooses the corner after the facing rotation. shape=outer_left/outer_right occupies the full half plus only one 0.5x0.5x0.5 corner prism in the opposite half, leaving the other three corner quarters empty; left/right chooses the retained corner after facing rotation.",#DBE2A4,219,226,164,1.000,,,none,stone;brick;architectural_shape;light,3,40,yes,minecraft:block/end_stone_brick_stairs;minecraft:block/end_stone_brick_stairs_inner;minecraft:block/end_stone_brick_stairs_outer,block;inner_stairs;outer_stairs;stairs,minecraft:block/end_stone_bricks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:end_stone_brick_wall,coarse_wall,masonry_wall,self_supporting_geometry,Thick multipart wall: optional center post plus low/tall side arms.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Thick wall states are multipart masonry geometry. up=true adds a center post [0.25,0,0.25]-[0.75,1,0.75]. For each of north/east/south/west: value=none adds no arm; value=low adds a thick arm from the post to that face, approximately 0.375 wide, 0.5 long, and 0.875 high; value=tall uses the same footprint but rises to full height y=1. Direction values rotate the canonical north arm [0.3125,0,0]-[0.6875,0.875 or 1,0.5].",#DBE2A4,219,226,164,1.000,,,none,stone;brick;architectural_shape;light,3,9,yes,minecraft:block/end_stone_brick_wall_post;minecraft:block/end_stone_brick_wall_side;minecraft:block/end_stone_brick_wall_side_tall,template_wall_post;template_wall_side;template_wall_side_tall,minecraft:block/end_stone_bricks,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:end_stone_bricks,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#DBE2A4,219,226,164,1.000,down=#DBE2A4;up=#DBE2A4;north=#DBE2A4;south=#DBE2A4;west=#DBE2A4;east=#DBE2A4,,none,stone;brick;light,1,1,no,minecraft:block/end_stone_bricks,block;cube;cube_all,minecraft:block/end_stone_bricks,medium,
minecraft:ender_chest,entity_block,entity_renderer,entity_or_block_entity_renderer,Special renderer/entity-style block; normal model geometry is not authoritative.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. This block is rendered by an entity, block entity, or special renderer rather than by a normal solid block model. Treat its world geometry as renderer-defined; this CSV intentionally does not infer a precise color or cuboid mesh from the block model.",,,,,,,,none,,1,1,no,minecraft:block/ender_chest,,,high,Average color intentionally omitted because this is handled by entity/block-entity rendering.
minecraft:exposed_chiseled_copper,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#9E7866,158,120,102,1.000,down=#9E7866;up=#9E7866;north=#9E7866;south=#9E7866;west=#9E7866;east=#9E7866,,none,copper,1,1,no,minecraft:block/exposed_chiseled_copper,block;cube;cube_all,minecraft:block/exposed_chiseled_copper,medium,
minecraft:exposed_copper,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#A37E69,163,126,105,1.000,down=#A37E69;up=#A37E69;north=#A37E69;south=#A37E69;west=#A37E69;east=#A37E69,,none,copper,1,1,no,minecraft:block/exposed_copper,block;cube;cube_all,minecraft:block/exposed_copper,medium,
minecraft:exposed_copper_bars,thin_wall,thin_bars,self_supporting_geometry,"Narrow multipart connector: thin post, pane, bar, fence, or gate segments.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Pane/bar geometry is a thin vertical connector system. A central post/cap sits near [0.4375,0,0.4375]-[0.5625,1,0.5625]. Each north/east/south/west=true side adds a thin vertical pane/bar from the center to that face; false omits that side. Single-connection states add end caps so the exposed edge has thickness.",#856A59,133,106,89,1.000,,,none,copper;architectural_shape,6,10,yes,minecraft:block/exposed_copper_bars_cap;minecraft:block/exposed_copper_bars_cap_alt;minecraft:block/exposed_copper_bars_post;minecraft:block/exposed_copper_bars_post_ends;minecraft:block/exposed_copper_bars_side;minecraft:block/exposed_copper_bars_side_alt,template_bars_cap;template_bars_cap_alt;template_bars_post;template_bars_post_ends;template_bars_side;template_bars_side_alt,minecraft:block/exposed_copper_bars,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_copper_bulb,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#AF8465,175,132,101,1.000,down=#8E6E5D;up=#8E6E5D;north=#8E6E5D;south=#8E6E5D;west=#8E6E5D;east=#8E6E5D,,none,copper,4,4,no,minecraft:block/exposed_copper_bulb;minecraft:block/exposed_copper_bulb_lit;minecraft:block/exposed_copper_bulb_lit_powered;minecraft:block/exposed_copper_bulb_powered,block;cube;cube_all,minecraft:block/exposed_copper_bulb;minecraft:block/exposed_copper_bulb_lit;minecraft:block/exposed_copper_bulb_lit_powered;minecraft:block/exposed_copper_bulb_powered,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_copper_chain,irregular_self_supporting,chain_column,self_supporting_geometry,Irregular narrow chain column assembled from small linked cuboids.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Chain geometry is a narrow linked column made from small crossed cuboids. axis=x/y/z rotates the link column along that axis, leaving most of the voxel empty.",#816754,129,103,84,1.000,,,none,copper,1,3,yes,minecraft:block/exposed_copper_chain,block;template_chain,minecraft:block/exposed_copper_chain,medium,
minecraft:exposed_copper_chest,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular non-cube geometry; exact visible shape is defined by the resolved block model and state-selected model variants.",#A37E69,163,126,105,1.000,,,none,copper,1,1,no,minecraft:block/exposed_copper_chest,,minecraft:block/exposed_copper,medium,
minecraft:exposed_copper_door,irregular_dependent,hinged_panel,dependent_on_support_or_counterpart,"Irregular thin hinged panel; open/closed, half, hinge, or facing changes by state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Door-like geometry is a thin vertical panel about 0.1875 blocks thick and one block tall per half. half=lower/upper selects the lower or upper block of the two-block door. facing chooses the panel orientation, hinge selects the pivot side, and open=true rotates the panel around that hinge.",#A47A6A,164,122,106,1.000,,,none,copper,8,32,yes,minecraft:block/exposed_copper_door_bottom_left;minecraft:block/exposed_copper_door_bottom_left_open;minecraft:block/exposed_copper_door_bottom_right;minecraft:block/exposed_copper_door_bottom_right_open;minecraft:block/exposed_copper_door_top_left;minecraft:block/exposed_copper_door_top_left_open;minecraft:block/exposed_copper_door_top_right;minecraft:block/exposed_copper_door_top_right_open,door_bottom_left;door_bottom_left_open;door_bottom_right;door_bottom_right_open;door_top_left;door_top_left_open;door_top_right;door_top_right_open,minecraft:block/exposed_copper_door_bottom;minecraft:block/exposed_copper_door_top,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_copper_golem_statue,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular non-cube geometry; exact visible shape is defined by the resolved block model and state-selected model variants.",#A37E69,163,126,105,1.000,,,none,copper,1,1,no,minecraft:block/exposed_copper_golem_statue,,minecraft:block/exposed_copper,medium,
minecraft:exposed_copper_grate,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#A47F6A,164,127,106,1.000,down=#A47F6A;up=#A47F6A;north=#A47F6A;south=#A47F6A;west=#A47F6A;east=#A47F6A,,none,copper,1,1,no,minecraft:block/exposed_copper_grate,block;cube;cube_all,minecraft:block/exposed_copper_grate,medium,
minecraft:exposed_copper_lantern,irregular_self_supporting,hanging_or_floor_lantern,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Lantern geometry is a compact cage-like light body with a small handle. hanging=false places it on the floor; hanging=true suspends it from the ceiling with the body lower in the voxel.",#9B9172,155,145,114,1.000,,,none,copper;light_source,2,2,no,minecraft:block/exposed_copper_lantern;minecraft:block/exposed_copper_lantern_hanging,block;template_hanging_lantern;template_lantern,minecraft:block/exposed_copper_lantern,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_copper_trapdoor,irregular_dependent,hinged_panel,dependent_on_support_or_counterpart,"Irregular thin hinged panel; open/closed, half, hinge, or facing changes by state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Trapdoor geometry is a thin 1x1 panel about 0.1875 blocks thick. half=bottom places the closed panel at y=0..0.1875; half=top places it at y=0.8125..1. open=true rotates the same panel upright against the side chosen by facing.",#A17D69,161,125,105,1.000,,,none,copper,3,16,yes,minecraft:block/exposed_copper_trapdoor_bottom;minecraft:block/exposed_copper_trapdoor_open;minecraft:block/exposed_copper_trapdoor_top,block;template_trapdoor_bottom;template_trapdoor_open;template_trapdoor_top;thin_block,minecraft:block/exposed_copper_trapdoor,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_cut_copper,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#9E7B67,158,123,103,1.000,down=#9E7B67;up=#9E7B67;north=#9E7B67;south=#9E7B67;west=#9E7B67;east=#9E7B67,,none,copper,1,1,no,minecraft:block/exposed_cut_copper,block;cube;cube_all,minecraft:block/exposed_cut_copper,medium,
minecraft:exposed_cut_copper_slab,slab,slab,self_supporting_geometry,Half-height or full-height rectangular prism selected by slab type.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. type=bottom occupies [0,0,0]-[1,0.5,1]. type=top occupies [0,0.5,0]-[1,1,1]. type=double is a full cube [0,0,0]-[1,1,1]. Single-slab states are exactly half-height rectangular prisms.",#9E7B67,158,123,103,1.000,,,none,copper;architectural_shape,3,3,no,minecraft:block/exposed_cut_copper;minecraft:block/exposed_cut_copper_slab;minecraft:block/exposed_cut_copper_slab_top,block;cube;cube_all;slab;slab_top,minecraft:block/exposed_cut_copper,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_cut_copper_stairs,stairs,stairs,self_supporting_geometry,"Step-shaped block: half-block base plus one or more quarter/half prisms; straight, inner-corner, and outer-corner variants.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Stairs are a full 1x1x1 cube with step-shaped upper/lower half removed. For half=bottom, shape=straight occupies a full bottom half [0,0,0]-[1,0.5,1] plus one upper half-prism [0.5,0.5,0]-[1,1,1] in the canonical east-facing model, so the side profile is an L and the missing volume is a 0.5x0.5x1 prism; facing rotates that prism to north/east/south/west. half=top mirrors the geometry vertically, putting the full half at y=0.5..1 and the step/void in y=0..0.5. shape=inner_left/inner_right occupies the full lower (or upper, for half=top) half plus an L-shaped pair of 0.5x0.5x1 and 0.5x0.5x0.5 upper/lower prisms, leaving exactly one 0.5x0.5x0.5 corner void; left/right chooses the corner after the facing rotation. shape=outer_left/outer_right occupies the full half plus only one 0.5x0.5x0.5 corner prism in the opposite half, leaving the other three corner quarters empty; left/right chooses the retained corner after facing rotation.",#9E7B67,158,123,103,1.000,,,none,copper;architectural_shape,3,40,yes,minecraft:block/exposed_cut_copper_stairs;minecraft:block/exposed_cut_copper_stairs_inner;minecraft:block/exposed_cut_copper_stairs_outer,block;inner_stairs;outer_stairs;stairs,minecraft:block/exposed_cut_copper,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:exposed_lightning_rod,irregular_self_supporting,irregular_model,self_supporting_geometry,Irregular non-cube geometry that can be used as a standalone placed form.,"Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/exposed_lightning_rod -> 2 elements: [0.375,0.75,0.375]-[0.625,1,0.625] + [0.4375,0,0.4375]-[0.5625,0.75,0.5625]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#D8CAC6,216,202,198,1.000,,,none,light,2,12,yes,minecraft:block/exposed_lightning_rod;minecraft:block/lightning_rod_on,block;template_lightning_rod,minecraft:block/exposed_lightning_rod;minecraft:block/lightning_rod_on,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:farmland,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/farmland -> 1 element: [0,0,0]-[1,0.9375,1]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#876043,135,96,67,1.000,,,none,,2,8,no,minecraft:block/farmland;minecraft:block/farmland_moist,block;template_farmland,minecraft:block/dirt;minecraft:block/farmland;minecraft:block/farmland_moist,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:fern,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#495F2D,73,95,45,1.000,,,plains_grass,,1,1,no,minecraft:block/fern,tinted_cross,minecraft:block/fern,medium,Tinted textures use the plains biome approximation for color averaging.
minecraft:fire,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/fire_floor0 -> 4 elements: [0,0,0.55]-[1,1.4,0.55] + [0,0,0.45]-[1,1.4,0.45] + [0.55,0,0]-[0.55,1.4,1] + [0.45,0,0]-[0.45,1.4,1] | minecraft:block/fire_side0 -> 1 element: [0,0,0.0006]-[1,1.4,0.0006] | minecraft:block/fire_up0 -> 2 elements: [0,1,0]-[1,1,1] + [0,1,0]-[1,1,1]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#D59C6D,213,156,109,1.000,,,none,,10,22,yes,minecraft:block/fire_floor0;minecraft:block/fire_floor1;minecraft:block/fire_side0;minecraft:block/fire_side1;minecraft:block/fire_side_alt0;minecraft:block/fire_side_alt1;minecraft:block/fire_up0;minecraft:block/fire_up1;minecraft:block/fire_up_alt0;minecraft:block/fire_up_alt1,template_fire_floor;template_fire_side;template_fire_side_alt;template_fire_up;template_fire_up_alt,minecraft:block/fire_0;minecraft:block/fire_1,medium,Average color is computed across the visible model variants referenced by this block.
minecraft:fire_coral,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#AC282F,172,40,47,1.000,,,none,,1,1,no,minecraft:block/fire_coral,cross,minecraft:block/fire_coral,medium,
minecraft:fire_coral_block,full_cube_same_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with same visual treatment on all six exterior faces.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#A7242F,167,36,47,1.000,down=#A7242F;up=#A7242F;north=#A7242F;south=#A7242F;west=#A7242F;east=#A7242F,,none,,1,1,no,minecraft:block/fire_coral_block,block;cube;cube_all,minecraft:block/fire_coral_block,medium,
minecraft:fire_coral_fan,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Coral/fan geometry uses thin organic planes or small branch-like cuboids. Floor fan variants stand on the block top; wall fan variants mount as a thin sheet on the chosen wall face.",#A3252E,163,37,46,1.000,,,none,,1,1,no,minecraft:block/fire_coral_fan,coral_fan,minecraft:block/fire_coral_fan,medium,
minecraft:fire_coral_wall_fan,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Coral/fan geometry uses thin organic planes or small branch-like cuboids. Floor fan variants stand on the block top; wall fan variants mount as a thin sheet on the chosen wall face.",#A3252E,163,37,46,1.000,,,none,,1,4,yes,minecraft:block/fire_coral_wall_fan,coral_wall_fan,minecraft:block/fire_coral_fan,medium,
minecraft:firefly_bush,irregular_dependent,cross_planes,dependent_on_support_or_counterpart,"Irregular crossed flat planes with transparent cutout texture, typically plant-like and support/substrate dependent.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Cross-plane geometry: two near-zero-thickness quads cross diagonally through the block center, usually spanning most of y=0..1. The visible silhouette comes from transparent texture pixels, not from cuboid volume; placement normally depends on ground or substrate support.",#A19D80,161,157,128,1.000,,,none,,1,1,no,minecraft:block/firefly_bush,cross_emissive,minecraft:block/firefly_bush;minecraft:block/firefly_bush_emissive,medium,
minecraft:fletching_table,full_cube_different_faces,full_cube,self_supporting_geometry,"Full cube [0,0,0]-[1,1,1] with face-dependent visual treatment.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Occupies the entire voxel [0,0,0]-[1,1,1]. All six exterior faces are present; color differences, if any, are texture/face differences rather than geometry differences.",#C0AF86,192,175,134,1.000,down=#C2B17A;up=#C8B78C;north=#B6A57A;south=#B6A57A;west=#C5B393;east=#C5B393,down=#C2B17A;up=#C8B78C;west=#C5B393;east=#C5B393,none,,1,1,no,minecraft:block/fletching_table,block;cube,minecraft:block/birch_planks;minecraft:block/fletching_table_front;minecraft:block/fletching_table_side;minecraft:block/fletching_table_top,medium,
minecraft:flower_pot,irregular_dependent,irregular_model,dependent_on_support_or_counterpart,"Irregular non-cube geometry that is expected to depend on a support block, substrate, or paired state.","Coordinates are normalized block-local [x,y,z] in 0..1, with y vertical. Irregular model geometry resolved from block models. Representative normalized cuboids/planes: minecraft:block/flower_pot -> 5 elements: [0.3125,0,0.3125]-[0.375,0.375,0.6875] + [0.625,0,0.3125]-[0.6875,0.375,0.6875] + [0.375,0,0.3125]-[0.625,0.375,0.375] + [0.375,0,0.625]-[0.625,0.375,0.6875] + [0.375,0,0.375]-[0.625,0.25,0.625]. Orientation or count states rotate, swap, or combine these cuboids without making the block a full cube.",#7D4636,125,70,54,1.000,,,none,vegetation,1,1,no,minecraft:block/flower_pot,,minecraft:block/dirt;minecraft:block/flower_pot,medium,
